CustomerID,AveMonthSpend
18988,47.17768853
29135,120.8306049
12156,45.57445226
13749,85.81115714
27780,58.03445198
16375,47.54394606
16109,96.60403503
15606,137.5899688
20888,90.53667378
20716,54.69099511
21311,66.3016769
21741,51.93436529
20101,71.66147958
28302,48.64011672
14515,40.54144301
11674,52.04059853
11539,84.63754556
14290,72.86119732
20615,96.10584983
14818,57.51237238
26973,66.46104977
17825,74.66513012
15133,165.6957744
22334,84.29080974
26530,54.29688855
15411,68.01560409
24792,87.22238935
18812,128.431983
27688,76.17806477
14513,58.59086613
28847,65.76134726
11168,79.5084078
18336,44.41492889
14382,69.41911051
28882,93.73661907
23238,102.344871
19098,168.1558244
15295,97.82222299
12347,54.66906943
20655,87.28621372
28156,50.17438451
20907,82.74434052
22162,77.90014753
17782,50.85753508
25307,56.16858122
14641,73.78140597
12477,58.26290959
18593,77.59119888
22718,115.386477
11377,81.09202588
18875,75.97979781
21972,79.87108235
13420,77.34000374
19205,64.149694
15966,48.73602656
16311,76.22300829
26497,60.932573
27508,71.75725018
20403,59.97184081
12728,65.26429731
26965,48.66997065
26248,63.03738145
18078,92.68782005
15376,79.53292649
28529,52.46314904
16104,75.18628414
13633,78.05434993
26019,150.8476778
19646,62.56239074
12133,97.15791434
19411,80.33509912
23050,64.61821584
16803,94.24371702
25367,47.53461004
11018,60.94907314
24425,75.44605212
19505,102.5764715
27759,68.75151475
12996,55.72197681
17519,48.39008277
19145,84.25839683
18746,72.63825126
12607,50.95031733
21435,83.49579986
11569,86.2923926
23800,51.14619983
21618,84.56102712
26089,118.5222997
11551,90.60218989
21268,56.46510876
23072,52.39777332
26766,87.68752168
15407,45.32557263
16381,51.57499503
13665,41.58805429
13409,152.2387135
15609,53.47159213
18681,51.8568315
18464,49.10139478
27695,54.75222644
21567,98.02456962
27999,69.47750629
11733,50.60143966
18823,124.0513799
13893,84.08182718
16817,95.06489086
26889,41.03078163
13339,48.39754344
16670,48.89384182
16690,59.00918595
22080,82.91679904
15291,50.2821719
24355,79.77176613
17502,63.64423541
18358,72.41492424
19893,90.93478505
14093,42.48144734
23327,44.31245595
11069,50.4359595
15778,104.2495144
22960,134.7360753
29269,81.76719916
28245,78.38481939
20497,42.78501983
23091,72.54594111
14418,57.05448253
27497,63.94749145
28577,87.48918177
22654,90.67186479
13485,123.0273177
22025,41.64801877
28515,85.04468015
26318,118.516457
11959,47.46013064
21429,51.25833481
21545,103.2336449
21848,167.3293599
11995,83.09952514
24675,83.38453758
16096,83.32160576
13966,85.50126427
21707,47.27211667
15157,124.2532142
15017,38.87152625
19705,69.51566681
14416,61.31675627
24466,53.18938091
20135,42.11609829
28431,60.10372002
22058,62.99409329
11331,80.43267694
18320,66.63233759
24761,69.20659757
16219,75.61837304
22205,111.74316
19647,40.95530214
28662,73.75124419
18732,60.69714865
12339,74.24583722
22106,89.31732359
23305,42.34988128
20290,67.69190617
16067,57.42580071
20186,100.7094274
14600,96.70220063
23713,58.59827312
11288,84.24368741
27942,103.7426864
25824,87.27775097
12028,41.75880207
26902,78.89604835
19897,61.53709217
18488,78.74391286
15991,84.23687211
13499,48.35394429
24737,40.56297971
18253,101.4790936
23277,72.02592708
25709,49.51609567
19037,148.1622369
25550,40.54373005
26714,45.42857398
15593,96.99891533
22018,68.27271208
11606,38.96891298
25634,45.39335628
21615,61.12463248
28455,63.57648774
11864,53.27917225
19197,57.51050627
